dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
individual,veh3_class,2,5,489,61,550,0.11090909090909092,0.019545826077685773,False
individual,veh3_class,2,6,10,0,10,0.0,0.0003553786559579232,True
individual,veh3_class,2,7,6872,1001,7873,0.12714340149879336,0.2797896158356729,False
individual,veh3_class,2,8,517,88,605,0.14545454545454545,0.02150040868545435,False
individual,veh3_class,2,9,4677,813,5490,0.14808743169398908,0.19510288212089982,False
individual,veh3_class,2,missing,3888,617,4505,0.13695893451720312,0.1600980845090444,False
individual,veh3_class,3,0,53,4,57,0.07017543859649122,0.002025658338960162,True
individual,veh3_class,3,1,4318,1001,5319,0.18819326941154352,0.18902590710401934,False
individual,veh3_class,3,10,1353,264,1617,0.16326530612244897,0.05746472866839618,False
individual,veh3_class,3,11,93,2,95,0.021052631578947368,0.00337609723160027,True
individual,veh3_class,3,13,236,63,299,0.21070234113712374,0.010625821813141903,False
individual,veh3_class,3,2,284,111,395,0.2810126582278481,0.014037456910337965,False
individual,veh3_class,3,3,1084,240,1324,0.18126888217522658,0.04705213404882903,False
individual,veh3_class,3,5,471,79,550,0.14363636363636365,0.019545826077685773,False
individual,veh3_class,3,6,10,0,10,0.0,0.0003553786559579232,True
individual,veh3_class,3,7,6523,1350,7873,0.17147211990346756,0.2797896158356729,False
individual,veh3_class,3,8,489,116,605,0.19173553719008266,0.02150040868545435,False
individual,veh3_class,3,9,4458,1032,5490,0.18797814207650274,0.19510288212089982,False
individual,veh3_class,3,missing,3600,905,4505,0.2008879023307436,0.1600980845090444,False
individual,location_id,1,BM,7291,357,7648,0.04667887029288703,0.2717935960766196,False
individual,location_id,1,BS,1491,181,1672,0.10825358851674641,0.05941931127616475,False
individual,location_id,1,FG,9963,686,10649,0.06441919429054371,0.3784427307295924,False
individual,location_id,1,ITC,1130,128,1258,0.10174880763116058,0.04470663491950674,False
individual,location_id,1,JG,1440,24,1464,0.01639344262295082,0.05202743523223995,False
individual,location_id,1,KB,5079,369,5448,0.06773127753303965,0.19361029176587655,False
individual,location_id,2,BM,6831,817,7648,0.10682531380753138,0.2717935960766196,False
individual,location_id,2,BS,1348,324,1672,0.1937799043062201,0.05941931127616475,False
individual,location_id,2,FG,9243,1406,10649,0.13203117663630387,0.3784427307295924,False
individual,location_id,2,ITC,1004,254,1258,0.20190779014308427,0.04470663491950674,False
individual,location_id,2,JG,1406,58,1464,0.03961748633879782,0.05202743523223995,False
